Rank (PTS),Image URL,ESPN URL,Name,College,Position,GP,MIN,PTS,FGM,FGA,FGPct,3PM,3PA,3PPct,FTM,FTA,FTPct,REB,AST,STL,BLK,TO
20,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5075625/keyshawn-hall,Keyshawn Hall,AUB,F,25,33.4,20.6,5.7,12.8,44.4,1.9,4.8,40.3,7.3,8.5,85.4,7,2.8,0.9,0.7,2.4
21,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4702654/nick-boyd,Nick Boyd,WIS,G,27,31.1,20.6,7,14.6,48,1.7,4.8,36.2,4.8,5.9,81.3,3.6,3.8,0.9,0,1.7
22,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2329.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176076/nasir-whitlock,Nasir Whitlock,LEH,G,29,34.7,20.6,6.8,14.5,46.9,2.2,5.2,42.4,4.8,5.9,80.7,3.6,3,1,0,2.7
22,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2870.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5177707/corey-hadnot-ii,Corey Hadnot II,PFW,G,29,32.9,20.6,7.8,14.6,53.1,1.9,5,37,3.2,4.6,68.7,4,3.4,1.8,0.4,2
24,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2006.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5108059/tavari-johnson,Tavari Johnson,AKR,G,27,31.7,20.5,7.6,14.6,52,2.3,6.2,36.5,3.1,3.4,89.2,2.9,5.2,1.3,0.3,2.2
25,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2454.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5119069/kamrin-oriol,Kamrin Oriol,UNF,G,29,35.4,20.5,7,14.6,48.1,3.1,7.6,41.4,3.3,3.7,89.8,3.1,4.3,0.8,0.1,3.2
26,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105837/bruce-thornton,Bruce Thornton,OSU,G,27,36.3,20.4,7.2,13.2,54.6,1.8,4.7,38.6,4.1,5,82.2,5.4,3.9,1.3,0.3,1.3
27,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2698.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5240027/shelton-williams-dryden,Shelton Williams-Dryden,WGA,F,28,34.9,20.3,7.9,16.2,48.5,0.5,2.1,25.4,4.1,5.6,72.2,9.2,1.4,1,0.2,1.9
28,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2115.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5177229/darin-smith-jr,Darin Smith Jr.,CCSU,F,27,32.3,20.2,6.7,14.7,45.8,1.9,5.1,36.7,4.9,5.4,90.3,5.1,1.2,0.7,0.3,1.6
28,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/254.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5177233/terrence-brown,Terrence Brown,UTAH,G,27,31.9,20.2,7,15.7,44.7,1.1,3.4,32.3,5.1,6.6,77.5,2.4,3.8,1.5,0.1,2.4
30,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/13.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5239525/hamad-mousa,Hamad Mousa,CP,G,27,31.4,20.2,5.8,13.3,43.7,2.7,7.1,37.3,5.9,6.7,87.4,6.1,2,1,0.3,2.6
31,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2210.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5175741/chandler-cuthrell,Chandler Cuthrell,ELON,F,28,27.7,20.1,6.8,13.5,50.3,0.9,3.5,26.8,5.6,8.1,69.9,6.7,1.7,1.1,0.3,2
32,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2172.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5314641/carson-johnson,Carson Johnson,DEN,G,30,35.6,20.1,6.7,14.5,46,2.7,6.7,40.8,4,4.6,88.3,1.8,3,0.6,0.1,1.2
