Rank (PTS),Image URL,ESPN URL,Name,College,Position,GP,MIN,PTS,FGM,FGA,FGPct,3PM,3PA,3PPct,FTM,FTA,FTPct,REB,AST,STL,BLK,TO
76,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/98.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176780/teagan-moore,Teagan Moore,WKU,G,22,29.5,18.3,5.6,10.9,51.5,1.1,2.7,40.7,6,7.4,81.6,5.7,2.1,1.1,0.4,1.5
77,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2433.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5313381/krystian-lewis,Krystian Lewis,ULM,G,29,35.9,18.3,5.3,14.1,37.3,1.9,5.9,32.2,5.9,7,83.3,4.4,3.3,1.6,0,2.9
77,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2771.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5314298/kevair-kennedy,Kevair Kennedy,MRMK,G,29,36.6,18.3,5.6,12.2,45.5,0.3,0.9,34.6,6.9,8.3,82.6,4.6,4.1,2,0.1,3.2
79,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/97.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107157/ryan-conwell,Ryan Conwell,LOU,G,26,30,18.3,5.7,14,40.4,3.3,9.5,35,3.7,4.4,83.5,4.8,2.7,1.2,0.2,2
80,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2617.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106037/keon-thompson,Keon Thompson,SFA,G,28,29.2,18.3,6.5,13.1,49.5,0.8,2.5,31.9,4.6,6.5,70.3,5.1,4.4,1.1,0.1,2.6
81,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2582.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5243366/michael-jacobs,Michael Jacobs,SOU,G,25,32.7,18.2,5.9,14.4,40.9,1.3,3.9,33.7,5.2,7.6,68.3,3.5,5.2,1.8,0.1,2.6
82,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2463.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105981/larry-hughes-ii,Larry Hughes II,CSUN,G,27,30.6,18.2,5.9,13.6,43.6,3.3,7.8,42.4,3.1,3.6,84.7,2.8,1,1.6,0.3,1.3
83,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2430.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4896620/justin-neely,Justin Neely,UNCG,F,29,33,18.2,5.8,10.7,53.7,0.5,1.5,31.8,6.2,7.9,78.3,11.5,2.7,1,0.2,2.3
84,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/356.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5254165/keaton-wagler,Keaton Wagler,ILL,G,28,33.3,18.2,5.3,11.7,45.6,2.4,5.8,42,5.1,6.3,81.3,5,4.3,0.9,0.3,1.7
85,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/239.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5095152/tounde-yessoufou,Tounde Yessoufou,BAY,G,27,32.2,18.1,6.7,14.2,47.5,1.7,5.4,31.5,3,3.9,75.5,5.6,1.6,2.1,0.5,2
86,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2916.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176164/davion-bailey,Davion Bailey,UIW,G,27,35,18.1,5.7,14.5,39.4,3.1,8.6,36.4,3.6,4.5,79.5,3.1,1.9,1.1,0.3,2
87,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2426.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105691/austin-benigni,Austin Benigni,NAVY,G,29,35.7,18.1,5.4,12.7,42.7,1.8,3.8,46.8,5.5,6.2,88.9,3.5,4.3,1.3,0.2,2.7
88,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/26.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105626/tyler-bilodeau,Tyler Bilodeau,UCLA,F,25,31,18.1,5.9,11.4,51.4,2.1,4.6,45.6,4.2,4.9,86.2,5.6,1,0.5,0.4,1.4
89,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2633.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107968/jakobi-gillespie,Ja'Kobi Gillespie,TENN,G,27,34,18.1,6,14.5,41.3,2.9,8.1,35.6,3.2,3.9,81.1,2.8,5.3,1.9,0.2,2.3
90,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/252.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105462/richie-saunders,Richie Saunders,BYU,G,25,31.4,18,6,12.2,48.9,2.6,6.8,37.6,3.6,4.4,81.7,5.8,2.1,1.7,0.3,1.6
91,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/252.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5060709/robert-wright-iii,Robert Wright III,BYU,G,27,34.7,18,6.5,13.5,47.9,1.8,4.1,44.5,3.3,4.1,80,3.6,4.8,1.3,0,2.2
91,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2065.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5178199/jakobi-heady,Jakobi Heady,BCU,G,27,35.4,18,5.4,10.5,51.8,1.3,3.2,41.9,5.8,7.4,78.5,5,1.7,1.4,0.1,1.7
93,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2427.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241756/kameron-taylor,Kameron Taylor,UNCA,G,28,34.1,18,6.2,13.7,45.1,1.1,4,27.4,4.6,6.4,71.5,4.9,3.1,0.9,0.6,2.5
94,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2598.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4703980/skylar-wicks,Skylar Wicks,SFPA,G,25,33.5,18,6.5,16,40.5,2.4,6.3,37.3,2.7,3.7,72,6.9,2.7,1.5,0.3,2.8
95,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2633.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5164559/nate-ament,Nate Ament,TENN,F,27,30.6,18,5.4,12.8,41.9,1.3,4.1,32.4,5.9,7.4,79.9,6.5,2.5,1,0.4,2.4
96,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/158.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4858604/pryce-sandfort,Pryce Sandfort,NEB,F,27,32.7,17.9,6.1,12.9,47.7,3.6,8.9,41,2,2.4,84.4,4.6,1.8,1,0.3,0.7
96,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/328.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105401/mj-collins-jr,MJ Collins Jr.,USU,G,27,30.2,17.9,6.1,11.9,50.9,2.4,6.3,38.5,3.4,4.2,80.5,2.2,1.6,0.9,0.1,1
98,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/218.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4684720/derrian-ford,Derrian Ford,TEM,G,26,35.7,17.9,5.5,13,41.9,1.6,4.3,36.6,5.4,6.5,83.9,4.5,1.9,0.6,0.1,1.5
99,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/27.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5181503/andrew-henderson,Andrew Henderson,UCR,G,29,33.4,17.9,6.3,15.2,41.3,2.7,7.8,34.4,2.7,3.3,80.2,4.8,2,0.9,0.9,2.3
100,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2084.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5177188/ryan-sabol,Ryan Sabol,BUF,G,27,35.9,17.9,5.9,13.9,42.8,3.5,8.9,39.2,2.6,3,84.1,3,3.6,0.7,0.1,1.7
101,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2229.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5175759/corey-stephenson,Corey Stephenson,FIU,G,26,30.8,17.9,5.9,13,45.1,2.4,5.7,41.9,3.7,5.1,73.5,6.4,1.7,1.4,0.5,2.3
102,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4848625/dailyn-swain,Dailyn Swain,TEX,G,27,31.4,17.9,6.3,11,57.2,0.9,2.7,33.8,4.3,5.4,80.1,7.3,3.3,1.8,0.3,2.7
103,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2916.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4896368/tahj-staveskie,Tahj Staveskie,UIW,G,28,34.7,17.8,6.2,14.1,43.9,2.4,6.3,38.9,3,3.8,78.3,3.9,4.3,1,0.1,2.9
103,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/331.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176412/isaiah-moses,Isaiah Moses,EWU,G,28,33.3,17.8,5.8,12.7,45.2,2.1,4.9,43.5,4.2,4.5,93.6,3,4,0.9,0,2.9
105,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/96.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106270/otega-oweh,Otega Oweh,UK,G,27,31.1,17.8,6.2,12.7,48.5,1.2,3.4,34.8,4.3,6,71,4.5,2.6,1.7,0.3,1.9
106,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2247.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4895747/jelani-hamilton,Jelani Hamilton,GAST,G,24,30.5,17.8,4.9,13.3,37.1,2,5.7,35,6,6.7,88.8,4.5,2.3,1.9,0.4,1.8
106,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/264.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5281370/hannes-steinbach,Hannes Steinbach,WASH,F,24,34.1,17.8,6.7,11.9,55.9,0.6,1.6,35.9,3.9,5.1,75.6,10.9,1.6,1.1,1.1,2
108,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/113.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4896505/leonardo-bettiol,Leonardo Bettiol,MASS,F,28,28.9,17.8,6.4,10.6,59.7,0,0.1,33.3,5,7.1,70.7,7.8,2.1,0.7,0.3,2.6
109,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2046.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5312891/collin-parker,Collin Parker,APSU,F,27,30.1,17.7,6.3,13.2,48,1.8,4.5,40.5,3.3,3.9,83.8,6,3,1,0.3,1.3
110,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2440.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5177690/corey-camper-jr,Corey Camper Jr.,NEV,G,23,31.4,17.7,6.1,12.6,48.8,2.5,5.5,45.2,3,3.8,78.4,4.3,2.2,1.3,0.3,1.3
111,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2502.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5175974/jaylin-henderson,Jaylin Henderson,PRST,G,26,37,17.7,6,14.3,41.8,1,4.1,24.5,4.7,5.9,79.9,4.1,5.9,1.4,0.3,3.2
112,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/231.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5314511/alex-wilkins,Alex Wilkins,FUR,G,29,29.9,17.7,6.2,13.8,45.1,1.7,5.8,29.9,3.5,4.3,82.3,2.1,5,0.8,0.1,4
113,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2634.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5182573/aaron-nkrumah,Aaron Nkrumah,TNST,G,28,31.2,17.7,5.9,13.5,43.8,1.5,4.5,34.1,4.3,5.6,77.6,5.5,2.9,2.8,0.4,2.3
114,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/278.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4903264/jake-heidbreder,Jake Heidbreder,FRES,G,25,36.8,17.7,5.5,12.9,42.5,2.4,7.2,32.8,4.4,4.9,89.3,2.6,2.4,1.5,0.1,2.1
115,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2142.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176046/jalen-cox,Jalen Cox,COLG,G,28,33.9,17.7,6.7,12.7,52.5,0.6,1.6,40.9,3.7,4.4,83.7,5.3,5.2,1.8,0.3,2.4
116,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/299.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5196921/gavin-sykes,Gavin Sykes,LBSU,G,25,32.5,17.6,6.1,13.3,45.9,2,5.7,35.7,3.4,4.2,80.8,3,1.6,0.4,0.3,1
117,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2217.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5108879/braden-sparks,Braden Sparks,FAIR,G,29,32.8,17.6,6,14.3,41.9,3,7.4,40.7,2.6,3.2,81.5,3.2,2.6,1.2,0.1,1.6
118,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2415.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5240664/alfred-worrell-jr,Alfred Worrell Jr.,MORG,G,25,27.5,17.6,5.1,12.7,40.3,2.8,7.5,37.8,4.5,5.2,87.6,3.5,1.1,0.9,0.2,1.8
119,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2535.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176193/dylan-faulkner,Dylan Faulkner,SAM,F,27,25.9,17.6,6.7,10.7,62.3,0,0.1,0,4.3,7.9,54.2,8.4,1.7,0.6,1.5,1.3
119,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2623.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5313696/keith-palek-iii,Keith Palek III,MOST,F,27,32.9,17.6,5.7,13.9,41.1,1.2,4.8,25.6,5,7,70.9,6.6,3.7,1.1,0.4,2.9
121,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2029.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106274/quion-williams,Quion Williams,UAPB,G,28,35.8,17.6,6.3,13.3,47.4,1,2.8,35.9,4,5.4,73.7,7.8,5.6,1.7,0.8,3.5
122,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2567.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4703115/jaron-pierre-jr,Jaron Pierre Jr.,SMU,G,27,32.1,17.6,6.6,14,46.8,2.1,5.7,36.4,2.4,3,78,5,1.9,0.8,0.3,1.6
122,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2230.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5175415/dejour-reaves,Dejour Reaves,FOR,G,27,33.6,17.6,6.7,14.3,46.8,1,3.7,28,3.1,3.7,84,4.3,3.6,1.9,0.2,2.4
124,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2529.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4709320/anquan-hill,Anquan Hill,SHU,F,24,32.1,17.5,6.1,13.3,45.9,1.5,4.5,32.4,3.8,5,77.3,6.3,1,0.6,1,2
124,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2127.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107223/brycen-blaine,Brycen Blaine,CHSO,G,24,28.3,17.5,5.8,14.3,40.4,3.1,8.9,34.7,2.9,3.7,78.4,7.3,3.1,1.3,0.2,3.3
126,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/324.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4698718/joshua-beadle,Joshua Beadle,CCU,G,29,32.2,17.5,6.2,14.5,43.1,1,3.6,26.9,4.1,5.2,78.7,3.7,2.9,0.9,0.1,2.7
127,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2466.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4897467/micah-thomas,Micah Thomas,NWST,G,28,29.8,17.5,5.7,12.8,44.3,1.6,4.4,37.7,4.5,4.9,92,1.8,2.7,1,0.1,2.4
128,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2086.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4848619/finley-bizjack,Finley Bizjack,BUT,G,27,33.6,17.5,5.4,12.2,43.9,2.3,6.4,35.6,4.4,5.2,85.7,2.2,2.5,0.8,0.1,1.5
128,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/66.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4848637/milan-momcilovic,Milan Momcilovic,ISU,F,27,29.4,17.5,5.9,11.1,52.8,3.7,7.3,50.8,2.1,2.3,88.9,3.2,1,0.9,0.2,0.9
128,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/399.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5239812/amir-lindsey,Amir Lindsey,UALB,G,27,37.3,17.5,6,13.7,44.1,1.9,5.4,34.9,3.5,4.4,80.5,3.1,4.7,1.1,0,2
131,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2815.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5242437/anias-futrell,Anias Futrell,LIN,G,28,31.8,17.4,5.9,13.8,42.5,2.5,6.8,37.6,3.2,3.9,82.4,6.1,2.1,2,0.9,2.4
132,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2754.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241706/cris-carroll,Cris Carroll,YSU,F,29,29.8,17.4,5.7,11.8,48.1,2.9,7.1,40.3,3.2,4.1,78.3,5.3,1.9,1.3,0.4,2.7
132,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2561.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5242926/gavin-doty,Gavin Doty,SIE,G,29,36.3,17.4,6.1,12.8,47.7,1.2,3.6,33,4,4.8,83.6,7.2,2.3,1.3,0,0.9
134,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/249.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241608/jeshawn-stevenson,Je'Shawn Stevenson,UNT,G,28,31.8,17.4,5.4,14.2,38.2,2.3,7.5,30.3,4.3,5.1,83.2,3.5,1.9,2.1,0.4,1.6
134,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2634.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5242985/travis-harper-ii,Travis Harper II,TNST,G,28,30.9,17.4,5.6,11.9,47.3,2.4,6.2,39.1,3.7,4.3,85.1,4.3,1.3,1,0.4,1.6
136,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/254.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4903216/don-mchenry,Don McHenry,UTAH,G,27,30.7,17.4,5.9,13.5,44,2.6,6.6,39,3,3.7,80.8,3,1.7,0.7,0,1.1
136,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2253.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105821/jaden-henley,Jaden Henley,GCU,G,27,31.6,17.4,5.8,12.7,45.9,1,3.9,24.5,4.8,6.2,77.2,5.6,2.9,1.6,0.3,2.7
138,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2507.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4898010/jaylin-sellers,Jaylin Sellers,PROV,G,27,28.9,17.3,5.6,11.9,47,2.1,5.2,41.4,4,4.6,87.8,4.2,1.7,0.9,0.3,1.7
138,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/57.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5080489/thomas-haugh,Thomas Haugh,FLA,F,27,33.7,17.3,5.6,12,46.8,1.9,5.4,34.7,4.2,5.6,74.8,6.2,2.1,1,0.9,1.6
140,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/47.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4897768/bryce-harris,Bryce Harris,HOW,G,28,31.9,17.3,5.4,11.4,47.8,1.2,3.3,35.9,5.3,6.6,79.6,6.6,2.5,1.3,1,2.4
141,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/61.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5165276/jeremiah-wilkinson,Jeremiah Wilkinson,UGA,G,25,25.5,17.3,5.5,13.2,41.9,2.3,6.8,34.3,3.9,5.1,77.2,2,1.9,1.7,0.3,1.4
141,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2428.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5314190/gage-lattimore,Gage Lattimore,NCCU,G,25,36.6,17.3,5.2,13.3,39.5,2.8,7.2,38.5,4,4.7,85.6,4.1,2.4,1.3,0.2,1.8
143,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/142.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4433285/mark-mitchell,Mark Mitchell,MIZ,G,27,33.2,17.2,5.8,10.8,53.4,0.4,1.4,31.6,5.2,8,65.6,5.5,3.8,0.7,0.4,1.9
143,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2649.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4845365/sonny-wilson,Sonny Wilson,TOL,G,27,36,17.2,6.5,13.1,49.6,1.2,3.1,38.8,3,4.3,69,3.6,4.5,1.3,0,1.6
145,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2385.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4898243/bernie-blunt-iii,Bernie Blunt III,MERC,G,29,30.5,17.2,5.6,13.2,41.9,2.1,6,34.3,4,4.7,85.4,2.9,2.3,1.1,0,1.2
146,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/71.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241360/jaquan-johnson,Jaquan Johnson,BRAD,G,29,30,17.1,5.3,11.8,44.7,1.7,4.1,40.8,4.9,6.1,79.8,4,3.6,2.7,0,1.4
147,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/108.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5061572/robert-hinton,Robert Hinton,HARV,G,25,32.8,17.1,6.4,12.9,50,0.9,2.7,34.3,3.3,4,82.2,4.8,2.2,1.4,0.2,1.8
148,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/25.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4845373/dai-dai-ames,Dai Dai Ames,CAL,G,27,32,17.1,6.3,13.3,47.2,1.6,4.2,38.9,3,3.5,85.1,1.9,2.3,0.8,0.1,1.6
149,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/219.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5108811/ethan-roberts,Ethan Roberts,PENN,F,20,30.8,17.1,5.1,12.7,39.9,1.9,4.4,43.2,5.1,6.3,81,4.1,2.5,1,0.2,1.9
150,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/16.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4683786/mikey-williams,Mikey Williams,SAC,G,21,35.1,17.1,5,13.8,36.3,1,4,26.5,6,7.3,83,3,4.5,1.2,0.4,2.9
151,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/295.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5243387/kc-shaw,KC Shaw,ODU,G,25,31.7,17.1,6.5,13.6,47.8,0.1,0.8,9.5,4,5.5,72.3,4.1,2.1,0.5,0.3,2.1
152,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/166.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241846/jemel-jones,Jemel Jones,NMSU,G,26,27.4,17.1,5.8,13.1,44.1,1.7,4.2,39.4,3.9,4.6,84.2,4,2.5,1.4,0.4,1.3
