Name,College,Position,GP,MIN,PTS,FGM,FGA,FGPct,3PM,3PA,3PPct,FTM,FTA,FTPct,REB,AST,STL,BLK,TO,TS_pct,PPM,AST_TO,3PA_rate,FTA_rate,Archetype_k2,Archetype,Efficiency_Score,PPG_Rank,Eff_Rank,Rank_Delta
Darin Smith Jr.,CCSU,F,27,32.3,20.2,6.7,14.7,45.8,1.9,5.1,36.7,4.9,5.4,90.3,5.1,1.2,0.7,0.3,1.6,0.5914734129772781,0.6253869969040248,0.7499999999999999,0.3469387755102041,0.3673469387755102,Perimeter Snipers,Perimeter Snipers,0.11729061970789784,29,203,-174
Terrence Brown,UTAH,G,27,31.9,20.2,7.0,15.7,44.7,1.1,3.4,32.3,5.1,6.6,77.5,2.4,3.8,1.5,0.1,2.4,0.5428940012900452,0.6332288401253918,1.5833333333333333,0.21656050955414013,0.42038216560509556,Perimeter Snipers,Shot Creators,0.3213195570497233,29,142,-113
Hamad Mousa,CP,G,27,31.4,20.2,5.8,13.3,43.7,2.7,7.1,37.3,5.9,6.7,87.4,6.1,2.0,1.0,0.3,2.6,0.621614967996061,0.643312101910828,0.7692307692307692,0.5338345864661653,0.5037593984962406,Perimeter Snipers,Perimeter Snipers,0.5939554327994847,29,77,-48
Chandler Cuthrell,ELON,F,28,27.7,20.1,6.8,13.5,50.3,0.9,3.5,26.8,5.6,8.1,69.9,6.7,1.7,1.1,0.3,2.0,0.5889592123769339,0.7256317689530687,0.85,0.25925925925925924,0.6,Paint Bruisers,Versatile Playmakers,0.9217018627641518,31,37,-6
Carson Johnson,DEN,G,30,35.6,20.1,6.7,14.5,46.0,2.7,6.7,40.8,4.0,4.6,88.3,1.8,3.0,0.6,0.1,1.2,0.6082062454611474,0.5646067415730337,2.5,0.4620689655172414,0.3172413793103448,Perimeter Snipers,Perimeter Snipers,0.6204143823669591,31,74,-43
Daniel Freitag,BUF,G,22,33.8,20.0,5.5,12.8,42.6,2.4,6.2,38.2,6.7,8.2,81.8,4.5,3.9,1.2,0.4,1.9,0.6094588005850804,0.591715976331361,2.0526315789473686,0.484375,0.6406249999999999,Perimeter Snipers,Versatile Playmakers,1.1108709311304725,33,19,14
Jalen Quinn,DRKE,G,29,33.2,19.9,6.9,14.9,46.6,1.4,3.8,36.7,4.7,6.2,75.4,4.3,3.1,1.2,0.1,2.7,0.5644429316995688,0.5993975903614457,1.1481481481481481,0.25503355704697983,0.4161073825503356,Perimeter Snipers,Shot Creators,0.1264850589052538,35,198,-163
Nolan Minessale,STMN,G,29,30.5,19.9,6.7,13.3,50.4,1.3,4.3,29.4,5.2,6.9,75.0,4.2,4.3,1.6,0.5,2.2,0.6090842311459352,0.6524590163934426,1.9545454545454544,0.3233082706766917,0.518796992481203,Paint Bruisers,Versatile Playmakers,1.0762037044918384,35,22,13
Dra Gibbs-Lawhorn,UNLV,G,27,33.3,19.9,7.1,14.1,50.5,2.6,6.4,40.7,3.1,3.7,83.8,3.0,2.7,1.5,0.4,2.3,0.6326297049847406,0.5975975975975976,1.173913043478261,0.4539007092198582,0.26241134751773054,Perimeter Snipers,Perimeter Snipers,0.22846998775926322,35,168,-133
Graham Ike,GONZ,F,25,30.0,19.9,7.6,13.4,56.7,0.7,2.1,32.1,4.0,5.2,77.5,8.4,2.6,0.6,0.8,1.5,0.634242733299337,0.6633333333333333,1.7333333333333334,0.15671641791044777,0.3880597014925373,Paint Bruisers,Versatile Playmakers,0.9303605950880998,35,35,0
Caleb Wilson,UNC,F,24,31.3,19.8,7.1,12.3,57.8,0.3,1.1,25.9,5.4,7.5,71.3,9.4,2.7,1.5,1.4,2.0,0.6346153846153846,0.6325878594249201,1.35,0.08943089430894309,0.6097560975609756,Paint Bruisers,Paint Dominators,1.0516673157502316,39,24,15
DJ Smith,CAM,G,28,34.4,19.8,5.7,14.9,38.2,3.0,9.1,33.5,5.4,6.5,83.4,3.8,2.3,1.6,0.1,2.1,0.5574324324324325,0.5755813953488372,1.0952380952380951,0.610738255033557,0.436241610738255,Perimeter Snipers,Perimeter Snipers,0.01497137887838143,39,234,-195
Tai'Reon Joseph,PV,G,24,31.9,19.8,6.8,16.3,41.8,2.5,7.8,31.7,3.6,4.8,76.3,2.5,0.9,1.3,0.0,1.9,0.5376928090375842,0.6206896551724138,0.4736842105263158,0.47852760736196315,0.29447852760736193,Perimeter Snipers,Shot Creators,-0.4331036319830381,39,386,-347
Baraka Okojie,MER,G,28,33.9,19.6,5.6,13.0,42.7,1.3,4.0,32.4,7.2,8.7,82.7,3.2,5.4,1.3,0.1,2.7,0.5823627287853578,0.5781710914454278,2.0,0.3076923076923077,0.6692307692307692,Perimeter Snipers,Versatile Playmakers,0.9434380005534737,41,33,8
Erik Pratt,STBK,G,27,34.3,19.6,7.0,16.6,42.3,1.9,6.0,31.1,3.7,5.0,74.8,4.8,3.6,1.1,0.3,2.7,0.5212765957446809,0.5714285714285715,1.3333333333333333,0.36144578313253006,0.3012048192771084,Perimeter Snipers,Shot Creators,-0.33497308337552606,41,344,-303
Cade Tyson,MINN,G,26,36.2,19.5,5.7,11.7,48.9,2.2,5.3,40.9,5.9,7.3,81.1,5.7,2.4,0.8,0.1,1.7,0.6538358369098712,0.5386740331491713,1.411764705882353,0.452991452991453,0.6239316239316239,Perimeter Snipers,Versatile Playmakers,0.8621849822305261,43,42,1
Malik Reneau,MIA,F,27,28.3,19.5,7.3,12.8,56.8,0.8,2.1,36.2,4.2,5.4,78.1,6.4,2.1,0.9,0.8,2.7,0.6424617817606747,0.6890459363957597,0.7777777777777778,0.1640625,0.421875,Paint Bruisers,Versatile Playmakers,0.733438877689667,43,54,-11
Money Williams,MONT,G,28,31.1,19.4,6.3,12.9,48.8,1.3,3.9,32.4,5.6,6.6,84.9,4.2,5.1,1.0,0.3,4.0,0.6137686661604657,0.6237942122186494,1.275,0.3023255813953488,0.5116279069767441,Perimeter Snipers,Versatile Playmakers,0.703023435196018,46,58,-12
Dontae Horne,PV,G,28,30.0,19.4,6.2,13.6,45.5,1.2,3.8,31.4,5.9,7.2,81.6,4.1,2.8,2.1,0.1,2.5,0.5784828244274809,0.6466666666666666,1.1199999999999999,0.27941176470588236,0.5294117647058824,Perimeter Snipers,Versatile Playmakers,0.5632925209691477,46,86,-40
Colby Garland,SJSU,G,23,34.3,19.4,7.1,14.4,49.2,1.2,3.1,39.4,4.0,4.7,85.2,3.2,4.5,1.1,0.0,2.1,0.5890211318921544,0.565597667638484,2.142857142857143,0.2152777777777778,0.3263888888888889,Perimeter Snipers,Versatile Playmakers,0.3888155399575629,46,125,-79
Camren Hunter,CARK,G,29,30.7,19.3,7.1,14.4,49.6,2.0,5.9,34.7,3.0,4.1,74.6,4.0,2.6,1.4,0.2,1.7,0.595531967415453,0.6286644951140066,1.5294117647058825,0.4097222222222222,0.2847222222222222,Perimeter Snipers,Versatile Playmakers,0.32795916749596643,48,140,-92
Terri Miller Jr.,PRST,F,25,32.0,19.2,7.2,14.1,51.4,1.8,4.4,40.0,3.0,4.4,68.2,5.8,3.5,1.5,0.6,2.9,0.5986530306809678,0.6,1.206896551724138,0.3120567375886525,0.3120567375886525,Perimeter Snipers,Versatile Playmakers,0.15467539124002322,50,189,-139
Kahmare Holmes,WOF,G,23,31.2,19.2,6.4,13.3,48.2,1.6,4.6,34.0,4.8,7.0,68.9,5.8,2.7,2.1,0.3,2.0,0.586080586080586,0.6153846153846154,1.35,0.3458646616541353,0.5263157894736842,Paint Bruisers,Versatile Playmakers,0.5794510916744964,50,82,-32
Lewis Walker,NCAT,F,25,34.3,19.2,5.8,11.4,51.4,1.0,2.8,37.1,6.4,7.4,86.6,5.3,1.8,0.8,0.1,1.9,0.6550218340611353,0.5597667638483965,0.9473684210526316,0.24561403508771928,0.6491228070175439,Paint Bruisers,Versatile Playmakers,0.798196468410012,50,46,4
Christian Anderson,TTU,G,26,38.7,19.1,6.3,13.0,48.5,3.5,7.9,44.2,3.0,3.8,78.0,3.6,7.7,1.3,0.3,3.2,0.6508996728462377,0.4935400516795866,2.40625,0.6076923076923078,0.29230769230769227,Perimeter Snipers,Perimeter Snipers,0.508301952769884,52,96,-44
Kenyon Giles,WICH,G,28,35.8,19.1,6.9,16.1,42.9,3.3,8.6,38.4,2.0,2.4,84.8,2.5,1.6,1.7,0.0,1.3,0.5566565633014688,0.5335195530726258,1.2307692307692308,0.5341614906832297,0.14906832298136644,Perimeter Snipers,Perimeter Snipers,-0.5928148888210263,52,423,-371
Mostapha El Moutaouakkil,JXST,G,27,29.4,19.0,6.3,13.6,46.3,1.1,3.4,31.2,5.4,8.3,64.4,7.0,1.4,0.8,0.3,2.8,0.5506607929515419,0.6462585034013606,0.5,0.25,0.6102941176470589,Paint Bruisers,Shot Creators,0.29752720303727515,56,150,-94
Dennis Parker Jr.,RAD,G,29,29.5,19.0,6.4,12.9,49.6,2.0,5.1,39.9,4.2,6.3,66.3,6.1,1.3,1.4,0.6,2.3,0.6061766207248596,0.6440677966101694,0.5652173913043479,0.3953488372093023,0.4883720930232558,Paint Bruisers,Versatile Playmakers,0.40185144520885396,56,122,-66
A'lahn Sumler,CHSO,G,25,30.4,19.0,6.9,14.0,49.0,2.1,5.2,39.7,3.2,4.8,65.8,4.6,3.8,0.8,0.2,2.4,0.5896226415094339,0.625,1.5833333333333333,0.37142857142857144,0.34285714285714286,Perimeter Snipers,Versatile Playmakers,0.4072508981321042,56,119,-63
Paulius Murauskas,SMC,F,29,32.3,19.0,6.3,12.9,49.2,1.1,3.2,34.0,5.2,6.3,82.5,7.6,2.3,0.7,0.6,1.8,0.6061766207248596,0.5882352941176471,1.2777777777777777,0.24806201550387597,0.4883720930232558,Perimeter Snipers,Versatile Playmakers,0.4919977858433209,56,99,-43
Logan Duncomb,WIN,C,28,25.7,19.0,6.4,10.8,59.5,0.0,0.1,0.0,6.2,8.5,72.4,9.3,1.6,0.8,0.8,2.0,0.6533700137551581,0.7392996108949417,0.8,0.009259259259259259,0.787037037037037,Paint Bruisers,Paint Dominators,1.62850852645786,56,2,54
Chaze Harris,USA,G,29,31.4,18.9,7.2,13.1,55.0,0.1,0.8,13.6,4.4,7.6,58.4,4.5,4.9,1.6,0.3,3.1,0.5746776939917295,0.6019108280254777,1.5806451612903227,0.06106870229007634,0.5801526717557252,Paint Bruisers,Paint Dominators,0.6586256522965549,59,63,-4
Rowan Brumbaugh,TULN,G,27,36.2,18.9,5.4,12.3,44.1,1.8,5.2,34.8,6.2,7.7,81.2,5.0,3.6,1.7,0.2,2.3,0.602371239163692,0.5220994475138121,1.565217391304348,0.4227642276422764,0.6260162601626016,Perimeter Snipers,Versatile Playmakers,0.5904536451501834,59,79,-20
Javontae Campbell,BGSU,G,28,34.3,18.8,6.5,12.9,50.6,0.7,2.1,33.3,5.1,6.6,77.3,4.7,5.0,3.2,0.3,2.8,0.5947861300936472,0.5481049562682216,1.7857142857142858,0.16279069767441862,0.5116279069767441,Paint Bruisers,Versatile Playmakers,0.5344279143940331,63,91,-28
Kyler D'Augustino,IUIN,G,27,32.3,18.8,7.6,14.2,53.1,1.4,3.7,38.0,2.3,2.9,79.5,3.1,3.5,1.4,0.1,1.9,0.6073920909795814,0.5820433436532508,1.842105263157895,0.2605633802816902,0.20422535211267606,Perimeter Snipers,Versatile Playmakers,0.20890041067551515,63,174,-111
Delrecco Gillespie,KENT,F,27,32.8,18.8,6.7,12.3,54.5,0.6,2.0,29.1,4.8,6.1,78.7,11.7,1.7,0.9,1.5,3.1,0.6273358248798719,0.5731707317073171,0.5483870967741935,0.16260162601626016,0.4959349593495934,Paint Bruisers,Versatile Playmakers,0.2629872954168395,63,160,-97
Prophet Johnson,SAC,G,26,35.3,18.8,6.6,13.6,48.4,1.7,4.1,40.2,4.0,5.3,74.1,7.6,3.8,2.8,0.3,2.4,0.590007532011047,0.5325779036827196,1.5833333333333333,0.3014705882352941,0.3897058823529412,Perimeter Snipers,Versatile Playmakers,0.15342230121994577,63,190,-127
Tylik Weeks,USM,F,28,32.6,18.8,6.2,13.3,46.9,0.2,1.3,13.5,6.1,7.6,81.1,5.9,2.0,1.0,0.3,2.9,0.5647680845950492,0.5766871165644172,0.6896551724137931,0.09774436090225563,0.5714285714285714,Paint Bruisers,Paint Dominators,0.12901894907862838,63,196,-133
Boopie Miller,SMU,G,26,34.5,18.7,5.7,12.2,47.2,1.8,4.4,40.9,5.5,6.3,87.1,3.6,6.9,1.7,0.1,2.5,0.6244990649211862,0.5420289855072463,2.7600000000000002,0.3606557377049181,0.5163934426229508,Perimeter Snipers,Versatile Playmakers,1.083930487128813,66,21,45
Cameron Carr,BAY,G,27,33.3,18.7,6.3,12.5,50.6,2.1,5.6,38.0,3.9,5.0,78.4,5.7,2.7,0.9,1.4,2.4,0.6360544217687075,0.5615615615615616,1.1250000000000002,0.44799999999999995,0.4,Perimeter Snipers,Versatile Playmakers,0.33706459922608434,66,137,-71
Tre Carroll,XAV,F,27,32.5,18.6,7.4,14.5,50.9,1.6,4.4,35.8,2.3,3.4,68.1,5.9,2.7,0.8,1.3,2.5,0.5813953488372093,0.5723076923076924,1.08,0.303448275862069,0.23448275862068965,Perimeter Snipers,Versatile Playmakers,-0.2290309929701192,68,310,-242
John Blackwell,WIS,G,26,33.1,18.5,5.4,13.2,40.7,2.6,6.9,37.2,5.2,6.1,85.4,4.9,2.4,1.3,0.1,1.7,0.5823470158650215,0.5589123867069486,1.411764705882353,0.5227272727272728,0.4621212121212121,Perimeter Snipers,Perimeter Snipers,0.2650132035629938,70,158,-88
TJ Johnson,VMI,F,28,35.1,18.5,5.4,13.7,39.7,3.5,9.9,35.6,4.1,4.9,84.1,7.2,1.5,1.5,0.2,1.6,0.5833753784056509,0.527065527065527,0.9375,0.7226277372262775,0.3576642335766424,Perimeter Snipers,Perimeter Snipers,-0.22600671877579806,70,308,-238
Tyler Tanner,VAN,G,27,32.1,18.5,6.1,12.9,47.4,1.7,4.6,37.4,4.6,5.3,86.1,3.4,5.2,2.4,0.4,2.0,0.6072741596638656,0.5763239875389408,2.6,0.3565891472868217,0.4108527131782945,Perimeter Snipers,Versatile Playmakers,0.8644362712633011,70,41,29
Donovan Oday,NKU,G,29,28.8,18.5,6.0,12.3,48.3,1.6,5.2,29.6,5.0,6.2,81.0,3.9,2.0,2.1,0.4,1.9,0.6155177002927867,0.642361111111111,1.0526315789473684,0.4227642276422764,0.5040650406504065,Perimeter Snipers,Versatile Playmakers,0.6752148693375692,70,59,11
Quinn Denker,UNCO,G,26,34.0,18.4,6.6,13.5,48.7,1.5,4.4,33.0,3.8,4.7,80.5,5.2,7.2,0.8,0.3,2.5,0.5909558067831449,0.5411764705882353,2.88,0.32592592592592595,0.34814814814814815,Perimeter Snipers,Versatile Playmakers,0.6529006233677154,74,64,10
Cooper Noard,COR,G,24,27.2,18.4,6.3,12.2,51.2,2.8,7.2,38.7,3.1,3.5,89.3,3.3,1.9,0.5,0.3,1.5,0.6695778748180495,0.676470588235294,1.2666666666666666,0.5901639344262296,0.2868852459016394,Perimeter Snipers,Perimeter Snipers,0.7983848660232503,74,45,29
Chad Baker-Mazara,USC,G,24,29.9,18.4,5.8,13.0,44.1,2.3,6.0,37.2,4.6,5.1,91.0,4.2,2.9,0.8,1.2,2.3,0.60351613749672,0.6153846153846154,1.2608695652173914,0.46153846153846156,0.3923076923076923,Perimeter Snipers,Perimeter Snipers,0.4008958261377606,74,123,-49
Teagan Moore,WKU,G,22,29.5,18.3,5.6,10.9,51.5,1.1,2.7,40.7,6.0,7.4,81.6,5.7,2.1,1.1,0.4,1.5,0.6463690307996609,0.6203389830508474,1.4000000000000001,0.24770642201834864,0.6788990825688074,Paint Bruisers,Versatile Playmakers,1.212752317920517,78,13,65
Krystian Lewis,ULM,G,29,35.9,18.3,5.3,14.1,37.3,1.9,5.9,32.2,5.9,7.0,83.3,4.4,3.3,1.6,0.0,2.9,0.5325960419091967,0.50974930362117,1.1379310344827587,0.4184397163120568,0.49645390070921985,Perimeter Snipers,Shot Creators,-0.23663718001032213,78,314,-236
Kevair Kennedy,MRMK,G,29,36.6,18.3,5.6,12.2,45.5,0.3,0.9,34.6,6.9,8.3,82.6,4.6,4.1,2.0,0.1,3.2,0.5772142316426949,0.5,1.2812499999999998,0.0737704918032787,0.6803278688524591,Paint Bruisers,Versatile Playmakers,0.35180479818937,78,131,-53
Ryan Conwell,LOU,G,26,30.0,18.3,5.7,14.0,40.4,3.3,9.5,35.0,3.7,4.4,83.5,4.8,2.7,1.2,0.2,2.0,0.5741716867469879,0.61,1.35,0.6785714285714286,0.31428571428571433,Perimeter Snipers,Perimeter Snipers,0.12205729514520547,78,202,-124
Keon Thompson,SFA,G,28,29.2,18.3,6.5,13.1,49.5,0.8,2.5,31.9,4.6,6.5,70.3,5.1,4.4,1.1,0.1,2.6,0.5733082706766918,0.6267123287671234,1.6923076923076923,0.19083969465648856,0.4961832061068702,Paint Bruisers,Versatile Playmakers,0.6403512888719748,78,68,10
Michael Jacobs,SOU,G,25,32.7,18.2,5.9,14.4,40.9,1.3,3.9,33.7,5.2,7.6,68.3,3.5,5.2,1.8,0.1,2.6,0.5128494138863842,0.5565749235474006,2.0,0.2708333333333333,0.5277777777777778,Perimeter Snipers,Shot Creators,0.23961321971049557,82,165,-83
Larry Hughes II,CSUN,G,27,30.6,18.2,5.9,13.6,43.6,3.3,7.8,42.4,3.1,3.6,84.7,2.8,1.0,1.6,0.3,1.3,0.5993150684931506,0.5947712418300654,0.7692307692307692,0.5735294117647058,0.2647058823529412,Perimeter Snipers,Perimeter Snipers,-0.12519030348506557,82,276,-194
Justin Neely,UNCG,F,29,33.0,18.2,5.8,10.7,53.7,0.5,1.5,31.8,6.2,7.9,78.3,11.5,2.7,1.0,0.2,2.3,0.6419300225733635,0.5515151515151515,1.173913043478261,0.14018691588785048,0.7383177570093459,Paint Bruisers,Versatile Playmakers,0.9479218963104519,82,30,52
